rowname	overall.max.dist	overall.centroids.dist	overall.mahalanobis.dist	BER.max.dist	BER.centroids.dist	BER.mahalanobis.dist
comp1	0.12915129151291513	0.2114391143911439	0.2114391143911439	0.4233474576271187	0.2820036319612591	0.2820036319612591
comp2	0.12730627306273062	0.2088560885608856	0.196309963099631	0.4016041162227603	0.26957021791767555	0.27088377723970947
comp3	0.12988929889298895	0.1952029520295203	0.18191881918819186	0.38848668280871673	0.27024818401937045	0.2735714285714286
comp4	0.13099630996309963	0.2011070110701107	0.1904059040590406	0.39033898305084747	0.28458837772397094	0.28939467312348666
comp5	0.13616236162361622	0.20221402214022138	0.1985239852398524	0.396955205811138	0.2827905569007264	0.295272397094431
comp6	0.13247232472324721	0.1977859778597786	0.196309963099631	0.39240314769975787	0.28024818401937046	0.29643462469733656
comp7	0.13911439114391144	0.20036900369003688	0.2	0.3962167070217918	0.2841646489104116	0.30342009685230026
comp8	0.14022140221402213	0.1970479704797048	0.1992619926199262	0.40415254237288134	0.27617433414043585	0.30664648910411624
comp9	0.13763837638376383	0.2025830258302583	0.19557195571955718	0.4051029055690073	0.283002421307506	0.3020944309927361
comp10	0.13763837638376383	0.1981549815498155	0.20147601476014762	0.3965859564164649	0.27924334140435836	0.30061743341404357
comp11	0.13653136531365315	0.1974169741697417	0.1940959409594096	0.3910835351089588	0.2836864406779661	0.29759685230024213
comp12	0.13911439114391144	0.2	0.1970479704797048	0.4023002421307506	0.2790859564164649	0.2968583535108959
comp13	0.13948339483394834	0.1985239852398524	0.188929889298893	0.3976452784503632	0.2879721549636804	0.3092312348668281
comp14	0.13284132841328414	0.1944649446494465	0.1904059040590406	0.3865314769975787	0.27834140435835353	0.3027784503631961
comp15	0.13173431734317345	0.1970479704797048	0.1974169741697417	0.38467917675544794	0.27860774818401934	0.29950363196125906
