n_clust	value
2	0.5335875030585434
3	0.4090354949697587
4	0.35285710466668785
5	0.35172485268061743
6	0.3497683756025589
7	0.3102520504583368
8	0.34066984650112403
9	0.29068149628806406
10	0.3139703298798765
11	0.32865226796123626
12	0.3141370884074095
13	0.32733600372739635
14	0.2966907951625737
15	0.2923633674562321
16	0.2893385649434214
17	0.29856896021271384
18	0.29810147283607746
19	0.27882820513421797
20	0.3050676605067768
