Species	otu	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison	variable	significant
Clostridium_sp_CAG_590	Otu_297	389.8155683056093	-28.811902082824044	4.219128933788223	3.209031644803676e-12	2.823947847427235e-11	female_vs_male	gender	yes
Faecalicoccus_pleomorphus	Otu_441	9.922290891355283	28.812670069221113	4.217765088521487	3.1559642336496494e-12	2.823947847427235e-11	female_vs_male	gender	no
Bacteroides_coprocola	Otu_89	684.877903702896	-28.80645918232086	4.22878222189587	3.6093978393654525e-12	2.8875242878225063e-11	female_vs_male	gender	yes
Clostridium_sp_CAG_413	Otu_294	700.3448960023276	-28.806459212257796	4.228782168861644	3.609395515832648e-12	2.8875242878225063e-11	female_vs_male	gender	yes
Clostridium_sp_CAG_510	Otu_295	806.4912281927367	-28.80645938698184	4.2287818593324396	3.6093819547833282e-12	2.8875242878225063e-11	female_vs_male	gender	yes
Bacteroides_pectinophilus	Otu_308	639.2728739179968	-28.80645908542625	4.228782393547758	3.609405359778133e-12	2.8875242878225063e-11	female_vs_male	gender	yes
Dialister_sp_CAG_357	Otu_477	200.05127655573926	-27.825887830606973	4.2287895333605725	1.8800899653657414e-11	1.470648150686091e-10	female_vs_male	gender	yes
Allisonella_histaminiformans	Otu_472	721.5249888704628	-7.431556779724689	1.129454312358975	2.950668218210097e-11	2.2579026365433787e-10	female_vs_male	gender	yes
Fusobacterium_mortiferum	Otu_507	142.95089379039425	-27.530824081686784	4.228793797520493	3.0562750118892027e-11	2.2889549025212752e-10	female_vs_male	gender	yes
Megasphaera_elsdenii	Otu_479	19382.796228127	-9.075831445528518	1.3762060745207672	3.621337075781911e-11	2.6556471889067345e-10	female_vs_male	gender	yes
Roseburia_sp_CAG_182	Otu_384	148.60744744421345	-27.371905304550165	4.228794060533385	3.962219283861073e-11	2.846328954936934e-10	female_vs_male	gender	yes
Prevotella_sp_CAG_873	Otu_142	142.30932653687898	-27.264349165676236	4.228795115502268	4.719470900440832e-11	3.322507513910346e-10	female_vs_male	gender	yes
Clostridium_paraputrificum	Otu_286	1.5019336369365723	27.043490421327114	4.218013675280077	6.061169277605646e-11	4.1833952661121324e-10	female_vs_male	gender	no
Paraprevotella_clara	Otu_125	29.285348897932295	-25.359090414268813	3.967990285942635	7.723487318837921e-11	5.228206800444131e-10	female_vs_male	gender	yes
Lactobacillus_mucosae	Otu_209	90.08003552691291	-26.842493451858417	4.228804957719832	9.312277859734209e-11	6.184758125710267e-10	female_vs_male	gender	yes
Streptococcus_pasteurianus	Otu_263	79.71591774838977	-26.727494174737686	4.228808521773582	1.1188083062184472e-10	7.292972662757285e-10	female_vs_male	gender	yes
Ruminococcaceae_bacterium_D5	Otu_421	49.14161748846141	-26.080326454568297	4.22883236888365	3.098574758578267e-10	1.983087845490091e-9	female_vs_male	gender	yes
Eubacterium_coprostanoligenes	Otu_317	47.178885929221885	-26.02670803453543	4.22883512634373	3.3678433210301066e-10	2.1169300875046383e-9	female_vs_male	gender	yes
Ruminococcus_sp_CAG_403	Otu_429	51.5164064177103	-25.966865823292252	4.2288338326794825	3.6952239955921496e-10	2.281962888506029e-9	female_vs_male	gender	yes
Clostridium_perfringens	Otu_287	34.87622502885478	-25.628709301778407	4.228860850808092	6.21964081160724e-10	3.7571485625235115e-9	female_vs_male	gender	yes
Firmicutes_bacterium_CAG_534	Otu_453	34.58162630399372	-25.620578424127046	4.228861606415678	6.297493329229749e-10	3.7571485625235115e-9	female_vs_male	gender	yes
Pediococcus_pentosaceus	Otu_230	40.94357385971303	-25.596548452795894	4.2288552556600365	6.532678790306768e-10	3.8325048903133036e-9	female_vs_male	gender	yes
Cloacibacillus_porcorum	Otu_576	32.942985797243395	-25.526303214488035	4.228868236784719	7.272412423999239e-10	4.196539628274971e-9	female_vs_male	gender	yes
Eubacterium_dolichum_CAG_375	Otu_318	30.964784724170656	-25.440366294693924	4.228875757003161	8.288440175055095e-10	4.705695067128054e-9	female_vs_male	gender	yes
Anaerococcus_vaginalis	Otu_494	29.211378662050137	-25.36492385813804	4.228883137504996	9.29356524222434e-10	5.192595182957091e-9	female_vs_male	gender	yes
