rowname	overall.max.dist	overall.centroids.dist	overall.mahalanobis.dist	BER.max.dist	BER.centroids.dist	BER.mahalanobis.dist
comp1	0.37380073800738006	0.37343173431734317	0.37343173431734317	0.3810640857392826	0.3777887139107612	0.3777887139107612
comp2	0.3575645756457565	0.3612546125461255	0.35424354243542433	0.36123140857392827	0.3637740594925634	0.35634022309711283
comp3	0.3638376383763837	0.36937269372693726	0.35793357933579334	0.36885389326334206	0.37276082677165356	0.3614391951006124
comp4	0.36457564575645757	0.36531365313653136	0.3719557195571956	0.3684793307086614	0.36759350393700785	0.37458716097987754
comp5	0.3660516605166052	0.3634686346863469	0.36162361623616235	0.37024004811898514	0.3661362642169729	0.3644931102362205
comp6	0.3538745387453875	0.3634686346863469	0.35682656826568265	0.3577127077865267	0.3662292213473316	0.35932852143482064
comp7	0.36457564575645757	0.3763837638376384	0.3612546125461255	0.36857228783902013	0.3788467847769029	0.36405293088363955
comp8	0.35645756457564576	0.3726937269372694	0.3575645756457565	0.3600503062117235	0.37542104111986	0.35979057305336837
comp9	0.34981549815498153	0.3575645756457565	0.3457564575645757	0.3535214348206474	0.3596511373578303	0.3478893263342082
comp10	0.36457564575645757	0.3678966789667897	0.3634686346863469	0.36843285214348204	0.3705353237095363	0.3662756999125109
comp11	0.35793357933579334	0.36531365313653136	0.3546125461254612	0.36171806649168853	0.3680582895888014	0.3570592738407699
comp12	0.35239852398523985	0.3623616236162362	0.35202952029520296	0.3558590332458443	0.36486220472440944	0.3542568897637795
comp13	0.3586715867158672	0.36568265682656825	0.35682656826568265	0.3628772965879265	0.36845199037620296	0.3598862642169729
comp14	0.35608856088560886	0.36900369003690037	0.3546125461254612	0.3601678696412948	0.3717629046369204	0.35733814523184604
comp15	0.3601476014760147	0.3760147601476015	0.36162361623616235	0.36445209973753284	0.3786854768153981	0.3646790244969379
