rowname	overall.max.dist.nrep1	overall.max.dist.nrep2	overall.max.dist.nrep3	overall.max.dist.nrep4	overall.max.dist.nrep5	overall.max.dist.nrep6	overall.max.dist.nrep7	overall.max.dist.nrep8	overall.max.dist.nrep9	overall.max.dist.nrep10	overall.centroids.dist.nrep1	overall.centroids.dist.nrep2	overall.centroids.dist.nrep3	overall.centroids.dist.nrep4	overall.centroids.dist.nrep5	overall.centroids.dist.nrep6	overall.centroids.dist.nrep7	overall.centroids.dist.nrep8	overall.centroids.dist.nrep9	overall.centroids.dist.nrep10	overall.mahalanobis.dist.nrep1	overall.mahalanobis.dist.nrep2	overall.mahalanobis.dist.nrep3	overall.mahalanobis.dist.nrep4	overall.mahalanobis.dist.nrep5	overall.mahalanobis.dist.nrep6	overall.mahalanobis.dist.nrep7	overall.mahalanobis.dist.nrep8	overall.mahalanobis.dist.nrep9	overall.mahalanobis.dist.nrep10	BER.max.dist.nrep1	BER.max.dist.nrep2	BER.max.dist.nrep3	BER.max.dist.nrep4	BER.max.dist.nrep5	BER.max.dist.nrep6	BER.max.dist.nrep7	BER.max.dist.nrep8	BER.max.dist.nrep9	BER.max.dist.nrep10	BER.centroids.dist.nrep1	BER.centroids.dist.nrep2	BER.centroids.dist.nrep3	BER.centroids.dist.nrep4	BER.centroids.dist.nrep5	BER.centroids.dist.nrep6	BER.centroids.dist.nrep7	BER.centroids.dist.nrep8	BER.centroids.dist.nrep9	BER.centroids.dist.nrep10	BER.mahalanobis.dist.nrep1	BER.mahalanobis.dist.nrep2	BER.mahalanobis.dist.nrep3	BER.mahalanobis.dist.nrep4	BER.mahalanobis.dist.nrep5	BER.mahalanobis.dist.nrep6	BER.mahalanobis.dist.nrep7	BER.mahalanobis.dist.nrep8	BER.mahalanobis.dist.nrep9	BER.mahalanobis.dist.nrep10
comp1	0.3800738007380074	0.36162361623616235	0.3800738007380074	0.35424354243542433	0.39114391143911437	0.3763837638376384	0.36900369003690037	0.36900369003690037	0.36162361623616235	0.3948339483394834	0.3763837638376384	0.3726937269372694	0.3985239852398524	0.36162361623616235	0.3726937269372694	0.3800738007380074	0.36531365313653136	0.3505535055350554	0.3726937269372694	0.3837638376383764	0.3763837638376384	0.3726937269372694	0.3985239852398524	0.36162361623616235	0.3726937269372694	0.3800738007380074	0.36531365313653136	0.3505535055350554	0.3726937269372694	0.3837638376383764	0.3873851706036745	0.36862970253718286	0.38831474190726156	0.3607556867891514	0.39873140857392825	0.3843777340332458	0.3760389326334208	0.3755741469816273	0.37002405949256345	0.4008092738407699	0.3811242344706912	0.37765201224846895	0.402422353455818	0.3653762029746282	0.37858158355205596	0.38506124234470696	0.37024278215223094	0.3549595363079615	0.3757928696412949	0.38667432195975504	0.3811242344706912	0.37765201224846895	0.402422353455818	0.3653762029746282	0.37858158355205596	0.38506124234470696	0.37024278215223094	0.3549595363079615	0.3757928696412949	0.38667432195975504
comp2	0.36531365313653136	0.36900369003690037	0.35793357933579334	0.36900369003690037	0.36900369003690037	0.34317343173431736	0.36162361623616235	0.33579335793357934	0.35424354243542433	0.3505535055350554	0.3726937269372694	0.35424354243542433	0.36162361623616235	0.35793357933579334	0.36162361623616235	0.35424354243542433	0.35424354243542433	0.33579335793357934	0.3726937269372694	0.3874538745387454	0.35793357933579334	0.35793357933579334	0.3505535055350554	0.36900369003690037	0.36531365313653136	0.34317343173431736	0.35793357933579334	0.3284132841328413	0.35424354243542433	0.35793357933579334	0.36791885389326334	0.37278543307086615	0.36190398075240593	0.3732502187226597	0.37278543307086615	0.3466207349081365	0.36584098862642167	0.3410706474190726	0.3565726159230096	0.3535651793525809	0.3748632983377078	0.3570374015748031	0.3649114173228346	0.36097440944881887	0.3649114173228346	0.35610783027121606	0.3565726159230096	0.338746719160105	0.3753280839895013	0.3882874015748031	0.3595800524934383	0.36004483814523186	0.3535651793525809	0.3718558617672791	0.36791885389326334	0.34476159230096237	0.36004483814523186	0.331337489063867	0.35564304461942253	0.35865048118985127
comp3	0.3726937269372694	0.35424354243542433	0.35424354243542433	0.3763837638376384	0.3505535055350554	0.36531365313653136	0.36531365313653136	0.3726937269372694	0.34317343173431736	0.3837638376383764	0.3800738007380074	0.33948339483394835	0.3763837638376384	0.3800738007380074	0.36531365313653136	0.3726937269372694	0.35793357933579334	0.36900369003690037	0.3726937269372694	0.3800738007380074	0.36900369003690037	0.3505535055350554	0.36531365313653136	0.3726937269372694	0.35424354243542433	0.3505535055350554	0.34686346863468637	0.36900369003690037	0.3284132841328413	0.3726937269372694	0.3767224409448819	0.3579669728783902	0.3593613298337708	0.3811242344706912	0.35542432195975504	0.37163713910761154	0.3697779965004374	0.37858158355205596	0.34755030621172356	0.39039260717410323	0.3827373140857393	0.34268372703412076	0.38065944881889763	0.38320209973753283	0.3683836395450568	0.3771872265966754	0.3595800524934383	0.37278543307086615	0.3753280839895013	0.38506124234470696	0.3718558617672791	0.3531003937007874	0.36931321084864394	0.3767224409448819	0.3579669728783902	0.354494750656168	0.3496281714785652	0.3732502187226597	0.33040791776028	0.37765201224846895
comp4	0.36900369003690037	0.34686346863468637	0.39114391143911437	0.35424354243542433	0.3874538745387454	0.35424354243542433	0.35793357933579334	0.3505535055350554	0.36531365313653136	0.36900369003690037	0.35424354243542433	0.36162361623616235	0.3874538745387454	0.36900369003690037	0.3800738007380074	0.36162361623616235	0.35793357933579334	0.35793357933579334	0.3505535055350554	0.3726937269372694	0.3837638376383764	0.3726937269372694	0.3837638376383764	0.36900369003690037	0.3837638376383764	0.36162361623616235	0.36162361623616235	0.35793357933579334	0.3726937269372694	0.3726937269372694	0.3723206474190726	0.35195209973753283	0.3959426946631671	0.3579669728783902	0.39154090113735784	0.3584317585301837	0.36190398075240593	0.3549595363079615	0.3683836395450568	0.37139107611548555	0.3565726159230096	0.36305227471566054	0.3892169728783902	0.3709262904636921	0.3827373140857393	0.3639818460192476	0.3614391951006124	0.3614391951006124	0.3521708223972003	0.3743985126859143	0.385744750656168	0.37625765529308836	0.38713910761154857	0.3709262904636921	0.3862095363079615	0.3639818460192476	0.3649114173228346	0.36097440944881887	0.3748632983377078	0.3748632983377078
comp5	0.36531365313653136	0.36531365313653136	0.35424354243542433	0.36531365313653136	0.35793357933579334	0.36162361623616235	0.36531365313653136	0.3726937269372694	0.35424354243542433	0.3985239852398524	0.35793357933579334	0.36900369003690037	0.36162361623616235	0.3505535055350554	0.34317343173431736	0.36162361623616235	0.34317343173431736	0.36531365313653136	0.35424354243542433	0.4280442804428044	0.36531365313653136	0.3505535055350554	0.34686346863468637	0.36162361623616235	0.33948339483394835	0.35793357933579334	0.36900369003690037	0.3726937269372694	0.36531365313653136	0.3874538745387454	0.3674540682414698	0.3683836395450568	0.36029090113735784	0.37024278215223094	0.3632983377077865	0.3663057742782152	0.3688484251968504	0.3767224409448819	0.3579669728783902	0.40288713910761154	0.3591152668416448	0.3718558617672791	0.3644466316710411	0.35402996500437445	0.3466207349081365	0.3649114173228346	0.34569116360454943	0.3674540682414698	0.35564304461942253	0.4315944881889764	0.3660597112860893	0.3521708223972003	0.3514873140857393	0.3649114173228346	0.3436132983377078	0.36097440944881887	0.3718558617672791	0.3757928696412949	0.36791885389326334	0.39014654418197725
comp6	0.3505535055350554	0.34686346863468637	0.3505535055350554	0.3505535055350554	0.3726937269372694	0.3726937269372694	0.34317343173431736	0.3505535055350554	0.36162361623616235	0.33948339483394835	0.36900369003690037	0.36531365313653136	0.36531365313653136	0.36162361623616235	0.3763837638376384	0.36900369003690037	0.34317343173431736	0.3837638376383764	0.3726937269372694	0.3284132841328413	0.3505535055350554	0.34686346863468637	0.3505535055350554	0.35424354243542433	0.3800738007380074	0.3726937269372694	0.36162361623616235	0.35793357933579334	0.35793357933579334	0.33579335793357934	0.35681867891513563	0.34916338582677164	0.3549595363079615	0.3535651793525809	0.3757928696412949	0.3757928696412949	0.3480150918635171	0.35542432195975504	0.3644466316710411	0.3431485126859143	0.3723206474190726	0.3674540682414698	0.36931321084864394	0.3639818460192476	0.3792650918635171	0.3723206474190726	0.34615594925634297	0.385744750656168	0.3753280839895013	0.33040791776028	0.3549595363079615	0.34776902887139105	0.3531003937007874	0.35610783027121606	0.38180774278215224	0.3748632983377078	0.3649114173228346	0.36190398075240593	0.3595800524934383	0.3382819335083115
comp7	0.34686346863468637	0.36900369003690037	0.35424354243542433	0.4059040590405904	0.35424354243542433	0.3763837638376384	0.3505535055350554	0.35793357933579334	0.3505535055350554	0.3800738007380074	0.3837638376383764	0.3726937269372694	0.3800738007380074	0.41697416974169743	0.3763837638376384	0.3763837638376384	0.3800738007380074	0.33210332103321033	0.35793357933579334	0.3874538745387454	0.34686346863468637	0.36162361623616235	0.34686346863468637	0.3985239852398524	0.35424354243542433	0.3763837638376384	0.35793357933579334	0.3505535055350554	0.3505535055350554	0.36900369003690037	0.35055774278215224	0.37278543307086615	0.3584317585301837	0.4102963692038495	0.35750218722659666	0.3815890201224847	0.35402996500437445	0.36097440944881887	0.3549595363079615	0.3845964566929134	0.3862095363079615	0.3748632983377078	0.38227252843394577	0.4202482502187227	0.37833552055993	0.37833552055993	0.38180774278215224	0.33434492563429574	0.36004483814523186	0.3920056867891514	0.3500929571303587	0.3644466316710411	0.3496281714785652	0.40056321084864394	0.35610783027121606	0.3801946631671041	0.36050962379702534	0.3531003937007874	0.3531003937007874	0.37278543307086615
comp8	0.35424354243542433	0.3763837638376384	0.35424354243542433	0.35793357933579334	0.34686346863468637	0.3763837638376384	0.36162361623616235	0.33948339483394835	0.33210332103321033	0.36531365313653136	0.36900369003690037	0.3837638376383764	0.36900369003690037	0.36531365313653136	0.39114391143911437	0.3948339483394834	0.33948339483394835	0.35793357933579334	0.35793357933579334	0.3985239852398524	0.36162361623616235	0.3726937269372694	0.36900369003690037	0.35793357933579334	0.34317343173431736	0.36531365313653136	0.36162361623616235	0.34686346863468637	0.33579335793357934	0.36162361623616235	0.3584317585301837	0.3792650918635171	0.3579669728783902	0.3614391951006124	0.35102252843394577	0.3811242344706912	0.36584098862642167	0.34128937007874016	0.33527449693788275	0.3688484251968504	0.37046150481189855	0.3862095363079615	0.3709262904636921	0.36791885389326334	0.3945483377077865	0.39848534558180226	0.3436132983377078	0.3595800524934383	0.3614391951006124	0.4010279965004374	0.36351706036745407	0.3748632983377078	0.3709262904636921	0.36004483814523186	0.34569116360454943	0.36791885389326334	0.3653762029746282	0.3473042432195975	0.3382819335083115	0.3639818460192476
comp9	0.35424354243542433	0.36162361623616235	0.33210332103321033	0.33948339483394835	0.36531365313653136	0.3210332103321033	0.35424354243542433	0.33948339483394835	0.34686346863468637	0.3837638376383764	0.3505535055350554	0.36900369003690037	0.3505535055350554	0.3284132841328413	0.36900369003690037	0.3505535055350554	0.36900369003690037	0.35424354243542433	0.35793357933579334	0.3763837638376384	0.33948339483394835	0.36162361623616235	0.3247232472324723	0.33948339483394835	0.3726937269372694	0.3210332103321033	0.35424354243542433	0.3247232472324723	0.34686346863468637	0.3726937269372694	0.3565726159230096	0.3677001312335958	0.3362040682414698	0.3417541557305337	0.36931321084864394	0.32392825896762906	0.3579669728783902	0.3436132983377078	0.35102252843394577	0.38713910761154857	0.3531003937007874	0.37139107611548555	0.3521708223972003	0.32808398950131235	0.3723206474190726	0.35263560804899385	0.3709262904636921	0.35610783027121606	0.36050962379702534	0.3792650918635171	0.34082458442694663	0.3653762029746282	0.32740048118985127	0.3403597987751531	0.3753280839895013	0.32253390201224846	0.35610783027121606	0.3269356955380578	0.3496281714785652	0.3743985126859143
comp10	0.3837638376383764	0.3800738007380074	0.36162361623616235	0.3800738007380074	0.36531365313653136	0.36162361623616235	0.36900369003690037	0.34317343173431736	0.3505535055350554	0.3505535055350554	0.39114391143911437	0.3874538745387454	0.34317343173431736	0.3800738007380074	0.36900369003690037	0.36531365313653136	0.3763837638376384	0.3505535055350554	0.34317343173431736	0.3726937269372694	0.3837638376383764	0.3874538745387454	0.34686346863468637	0.3800738007380074	0.33948339483394835	0.36162361623616235	0.3763837638376384	0.34686346863468637	0.35793357933579334	0.35424354243542433	0.3862095363079615	0.38413167104111984	0.3663057742782152	0.38413167104111984	0.36931321084864394	0.36584098862642167	0.37371500437445315	0.34615594925634297	0.3535651793525809	0.3549595363079615	0.39361876640419946	0.39014654418197725	0.3466207349081365	0.38320209973753283	0.3709262904636921	0.3688484251968504	0.3801946631671041	0.35263560804899385	0.34476159230096237	0.3743985126859143	0.385744750656168	0.3896817585301837	0.35055774278215224	0.38366688538932636	0.34082458442694663	0.3653762029746282	0.3801946631671041	0.34916338582677164	0.3595800524934383	0.3579669728783902
comp11	0.36162361623616235	0.34317343173431736	0.36531365313653136	0.33579335793357934	0.34686346863468637	0.3763837638376384	0.36900369003690037	0.3726937269372694	0.34317343173431736	0.36531365313653136	0.35793357933579334	0.36900369003690037	0.36162361623616235	0.36162361623616235	0.35424354243542433	0.3763837638376384	0.35424354243542433	0.3800738007380074	0.36900369003690037	0.36900369003690037	0.34686346863468637	0.34317343173431736	0.36531365313653136	0.34317343173431736	0.33948339483394835	0.3837638376383764	0.35424354243542433	0.36900369003690037	0.34317343173431736	0.35793357933579334	0.3644466316710411	0.34569116360454943	0.36931321084864394	0.3406058617672791	0.35102252843394577	0.38065944881889763	0.3718558617672791	0.3781167979002625	0.3466207349081365	0.3688484251968504	0.36004483814523186	0.3695319335083115	0.3653762029746282	0.3644466316710411	0.3579669728783902	0.37880030621172356	0.35610783027121606	0.38366688538932636	0.3709262904636921	0.37371500437445315	0.3486986001749781	0.34429680664916884	0.3683836395450568	0.3466207349081365	0.34268372703412076	0.3862095363079615	0.35564304461942253	0.3723206474190726	0.34569116360454943	0.36004483814523186
comp12	0.36531365313653136	0.3505535055350554	0.34686346863468637	0.34686346863468637	0.34686346863468637	0.3505535055350554	0.33948339483394835	0.36162361623616235	0.3505535055350554	0.36531365313653136	0.3874538745387454	0.34686346863468637	0.35793357933579334	0.3800738007380074	0.36162361623616235	0.35793357933579334	0.3505535055350554	0.35793357933579334	0.36531365313653136	0.35793357933579334	0.3726937269372694	0.34317343173431736	0.34317343173431736	0.35424354243542433	0.33579335793357934	0.34686346863468637	0.33948339483394835	0.36900369003690037	0.35793357933579334	0.35793357933579334	0.37024278215223094	0.3549595363079615	0.3500929571303587	0.3500929571303587	0.3500929571303587	0.35263560804899385	0.34082458442694663	0.36584098862642167	0.35402996500437445	0.3697779965004374	0.3910761154855643	0.3500929571303587	0.3595800524934383	0.3827373140857393	0.3649114173228346	0.36004483814523186	0.3521708223972003	0.36097440944881887	0.3660597112860893	0.36097440944881887	0.3767224409448819	0.34615594925634297	0.34429680664916884	0.3570374015748031	0.33781714785651795	0.346839457567804	0.34082458442694663	0.3723206474190726	0.36004483814523186	0.36050962379702534
comp13	0.34686346863468637	0.3800738007380074	0.39114391143911437	0.35793357933579334	0.3284132841328413	0.36162361623616235	0.3726937269372694	0.35793357933579334	0.33948339483394835	0.3505535055350554	0.36162361623616235	0.36900369003690037	0.3948339483394834	0.3800738007380074	0.36900369003690037	0.36531365313653136	0.36162361623616235	0.35793357933579334	0.33210332103321033	0.36531365313653136	0.3505535055350554	0.36900369003690037	0.3837638376383764	0.35424354243542433	0.33948339483394835	0.36531365313653136	0.36162361623616235	0.36162361623616235	0.33210332103321033	0.3505535055350554	0.35102252843394577	0.38599081364829396	0.3954779090113736	0.3614391951006124	0.33226706036745407	0.3644466316710411	0.37765201224846895	0.36190398075240593	0.3440780839895013	0.354494750656168	0.36351706036745407	0.37278543307086615	0.39848534558180226	0.3827373140857393	0.3718558617672791	0.3674540682414698	0.3644466316710411	0.36050962379702534	0.3334153543307087	0.36931321084864394	0.35402996500437445	0.37417979002624674	0.38713910761154857	0.35564304461942253	0.3422189413823272	0.3674540682414698	0.3653762029746282	0.36351706036745407	0.3362040682414698	0.3531003937007874
comp14	0.35424354243542433	0.33948339483394835	0.34317343173431736	0.3247232472324723	0.33579335793357934	0.34686346863468637	0.3763837638376384	0.3948339483394834	0.3763837638376384	0.36900369003690037	0.3800738007380074	0.36531365313653136	0.3505535055350554	0.36162361623616235	0.36162361623616235	0.36162361623616235	0.3800738007380074	0.3837638376383764	0.3985239852398524	0.34686346863468637	0.3505535055350554	0.3505535055350554	0.33948339483394835	0.33579335793357934	0.33948339483394835	0.3505535055350554	0.35793357933579334	0.3874538745387454	0.3726937269372694	0.36162361623616235	0.3565726159230096	0.3440780839895013	0.3452263779527559	0.32740048118985127	0.34014107611548555	0.34916338582677164	0.3829833770778653	0.4008092738407699	0.38065944881889763	0.3746445756780402	0.3813429571303587	0.36931321084864394	0.3531003937007874	0.3639818460192476	0.3649114173228346	0.36305227471566054	0.3845964566929134	0.38667432195975504	0.40149278215223094	0.34916338582677164	0.3517060367454068	0.3535651793525809	0.34128937007874016	0.33781714785651795	0.34268372703412076	0.3512412510936133	0.36236876640419946	0.3910761154855643	0.37625765529308836	0.3653762029746282
comp15	0.34317343173431736	0.36162361623616235	0.3763837638376384	0.3837638376383764	0.36162361623616235	0.3505535055350554	0.3505535055350554	0.36900369003690037	0.36162361623616235	0.34317343173431736	0.36162361623616235	0.3837638376383764	0.36900369003690037	0.3948339483394834	0.3763837638376384	0.3763837638376384	0.3763837638376384	0.3726937269372694	0.3800738007380074	0.36900369003690037	0.33210332103321033	0.36162361623616235	0.3837638376383764	0.3800738007380074	0.36900369003690037	0.36531365313653136	0.34317343173431736	0.3726937269372694	0.35424354243542433	0.35424354243542433	0.3489446631671041	0.36723534558180226	0.3811242344706912	0.3889982502187227	0.3653762029746282	0.35402996500437445	0.3549595363079615	0.37278543307086615	0.3639818460192476	0.34708552055993	0.36584098862642167	0.3876038932633421	0.3718558617672791	0.39709098862642167	0.3778707349081365	0.37833552055993	0.3801946631671041	0.3753280839895013	0.3827373140857393	0.369996719160105	0.33666885389326334	0.3653762029746282	0.38713910761154857	0.38366688538932636	0.3723206474190726	0.3674540682414698	0.3466207349081365	0.3753280839895013	0.35564304461942253	0.3565726159230096
