"cat_var","group1","group2","median1","iqr2","median2","medianChange","iqr_change","n1","n2","statistic","p.adj"
"mock","0","24",791905,398434,857580,70786,169387.5,33,33,191,0.339
"mock","0","48",767673,302455.666666667,910117,73708,204931,51,51,227,0.0002676
"mock","0","96",767673,270119.666666667,839854,104727,177611.333333333,49,49,227,0.000324
"mock","24","48",850590,338150.583333333,940768.5,18089.5,168753,38,38,234,0.1912
"mock","24","96",843600,282938.666666667,874916,33540,208810.25,37,37,256,0.339
"mock","48","96",874366,253673,840909,24726.5,215349.916666667,52,52,585,0.346
