"cat_var"	"long_var"	"median"	"upper_ci"	"lower_ci"	"iqr"
"DRV/r"	0	748385	948385	614476.333333333	333908.666666667
"DRV/r"	24	700943	910313.75	551908.583333333	358405.166666667
"DRV/r"	48	773533	982808.333333333	620399.333333333	362409
"DRV/r"	96	800115	1014202.66666667	663826	350376.666666667
"DTG"	0	776668	923667.5	641982.833333333	281684.666666667
"DTG"	24	938264	1011618.5	739281	272337.5
"DTG"	48	938572	1044631.66666667	804956.666666667	239675
"DTG"	96	931461	1040300.91666667	803331.333333333	236969.583333333
